,,,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats
factor,,,10,20,30,40,50,60,70,80,90,100,150,200,400,600,800,1000
pair,side,index,,,,,,,,,,,,,,,,
BTCUSDT,asks,mean,1137371.44920635,1908358.7556795552,2515566.918570338,3898025.6876570173,4716942.831156129,5302480.646868177,5533913.99418121,5878139.338844486,6097031.954845171,6573281.607561121,11157773.588397542,17394455.749619067,23600866.78693501,23600866.78693501,23600866.78693501,23600866.78693501
BTCUSDT,asks,median,1137371.44920635,1908358.7556795552,2515566.918570338,3898025.6876570173,4716942.831156129,5302480.646868177,5533913.99418121,5878139.338844486,6097031.954845171,6573281.607561121,11157773.588397542,17394455.749619067,23600866.78693501,23600866.78693501,23600866.78693501,23600866.78693501
BTCUSDT,asks,std,214964.8500386662,233631.67353526122,271941.9266307872,197931.42634516902,265664.7429099339,204147.36542798177,213800.04588633112,200731.97618358428,181124.24501931955,208647.7984187244,862483.6600876163,213277.12473119845,205081.44822745462,205081.44822745462,205081.44822745462,205081.44822745462
BTCUSDT,bids,mean,1491040.4014311596,1773077.9827925097,1940027.5173290297,2370543.863788665,2710440.7877595294,3212934.3741053203,5365756.137528677,5731643.4122864995,6291173.030539893,7006816.364806648,14187076.443549987,20848611.19708257,20848611.19708257,20848611.19708257,20848611.19708257,20848611.19708257
BTCUSDT,bids,median,1491040.4014311596,1773077.9827925097,1940027.5173290297,2370543.863788665,2710440.7877595294,3212934.3741053203,5365756.137528677,5731643.4122864995,6291173.030539893,7006816.364806648,14187076.443549987,20848611.19708257,20848611.19708257,20848611.19708257,20848611.19708257,20848611.19708257
BTCUSDT,bids,std,2610.955082882447,56348.40132384307,49495.45614142109,66640.5270200825,70211.96450868598,7865.540806861699,6063.028124324383,56406.84534335538,59671.42586618973,58904.63056128597,319265.28539419814,303487.94574740325,303487.94574740325,303487.94574740325,303487.94574740325,303487.94574740325
ETHUSDT,asks,mean,730663.7059138999,1171296.3274459997,1410252.2230449496,1597141.42585395,1668171.4347397,2734592.03477885,3238347.047583048,4115342.195039998,4809642.180499397,4964283.009423003,7163542.672565806,9504242.026444662,20341462.222245082,25057589.69401381,25057589.69401381,25057589.69401381
ETHUSDT,asks,median,730663.7059138999,1171296.3274459997,1410252.2230449496,1597141.42585395,1668171.4347397,2734592.03477885,3238347.047583048,4115342.195039998,4809642.180499397,4964283.009423003,7163542.672565806,9504242.026444662,20341462.222245082,25057589.69401381,25057589.69401381,25057589.69401381
ETHUSDT,asks,std,146683.51739952632,121599.23584612855,156219.68518289115,153681.6292614238,163816.95344276482,161649.3542336643,161826.45558431116,751494.5919924793,163642.5017114529,160764.07363926753,184319.77392763237,184949.7952860823,186534.8498493127,185420.36470963008,185420.36470963008,185420.36470963008
ETHUSDT,bids,mean,900060.9912857497,1225459.34551915,1404275.5539066005,1498153.2932503005,1753116.5023097508,2513664.14766445,2626905.322837,2659005.5916524,2669930.3743263,3197820.767346451,4057565.9502149527,6032582.099636498,13523191.547223818,19037267.38887377,21268229.982165515,21268229.982165515
ETHUSDT,bids,median,900060.9912857497,1225459.34551915,1404275.5539066005,1498153.2932503005,1753116.5023097508,2513664.14766445,2626905.322837,2659005.5916524,2669930.3743263,3197820.767346451,4057565.9502149527,6032582.099636498,13523191.547223818,19037267.38887377,21268229.982165515,21268229.982165515
ETHUSDT,bids,std,101568.95466118086,37960.50881184911,22786.856358190507,24293.77713020177,18689.417514670848,22531.781639988745,27194.190791003923,24235.341939647835,23109.40604328431,634188.6097705881,30728.969500320454,20542.337124566162,23374.92481357044,25188.50239796907,25130.105566832102,25130.105566832102
